question_id,row_type,contrast,test_type,estimate,ci_lo,ci_hi,ci_method,n,balanced_mae_interval_uncorrected,hodges_lehmann,rank_biserial,win_rate_a,win_rate_b,tie_rate,skew_d,symmetry_violated,tie_burden_exceeded,zero_share,bootstrap_empty_bin_violations,switch_to_stratified_bootstrap,c1_serving_confounded,family,family_size,stream_note,bin,mae_diff,bias_diff,bias_diff_ci_lo,bias_diff_ci_hi,bias_diff_ci_method,model,overall_mean_abs_e_diff,overall_mean_abs_e_diff_ci_lo,overall_mean_abs_e_diff_ci_hi,maverick_floor_delta,within_run_to_run_variability,prompt,cot_image,n_with_row,n_without_row,mae_with_row,mae_without_row,mae_difference
Q4,pooled_contrast_interval_only,masked_gray_minus_base,pooled_variant_contrast_bca_interval,-1.6426111694866314,-2.410293443266667,-0.9365555301645632,BCa,1155.0,True,0.29166666666666696,0.13001019907075134,0.44761904761904764,0.548051948051948,0.004329004329004329,-1.1753143168013878,True,False,0.004329004329004329,0.0,False,False,,,"This row is a BCa interval on Delta balanced MAE, read on its own and not multiplicity-corrected; no p-value is computed for balanced MAE anywhere in this notebook.",,,,,,,,,,,,,,,,,,,
Q4,pooled_contrast_interval_only,rectified_minus_base,pooled_variant_contrast_bca_interval,-1.6862547721165413,-2.4565425020421765,-0.9873397114250988,BCa,1155.0,True,0.30208333333333304,0.12999523070333455,0.44935064935064933,0.5437229437229437,0.006926406926406926,-1.0746038239165878,True,False,0.006926406926406926,0.0,False,False,,,"This row is a BCa interval on Delta balanced MAE, read on its own and not multiplicity-corrected; no p-value is computed for balanced MAE anywhere in this notebook.",,,,,,,,,,,,,,,,,,,
Q4,pooled_contrast_interval_only,masked_gray_minus_rectified,pooled_variant_contrast_bca_interval,0.04364360262990985,-0.3498360360841957,0.48018223613403993,BCa,1155.0,True,0.02083333333333348,0.018776684138492896,0.48225108225108226,0.503030303030303,0.01471861471861472,0.2137659626394447,False,False,0.01471861471861472,0.0,False,False,,,"This row is a BCa interval on Delta balanced MAE, read on its own and not multiplicity-corrected; no p-value is computed for balanced MAE anywhere in this notebook.",,,,,,,,,,,,,,,,,,,
Q4,pooled_bias_diff_interval_only,masked_gray_minus_base,pooled_variant_mean_bias_diff_bca_interval,0.9434686147186147,0.6950202339736093,1.1960915364796583,BCa,1155.0,True,,,,,,,,,,,,False,,,"This row is a BCa interval on the difference in mean signed bias (variant minus base, pooled over all 1,155 images), read on its own and not multiplicity-corrected. Positive means the variant is more over-predicting (or less under-predicting) than base; negative means the opposite.",,,,,,,,,,,,,,,,,,,
Q4,pooled_bias_diff_interval_only,rectified_minus_base,pooled_variant_mean_bias_diff_bca_interval,0.8522781385281386,0.6014098445260053,1.104285532464046,BCa,1155.0,True,,,,,,,,,,,,False,,,"This row is a BCa interval on the difference in mean signed bias (variant minus base, pooled over all 1,155 images), read on its own and not multiplicity-corrected. Positive means the variant is more over-predicting (or less under-predicting) than base; negative means the opposite.",,,,,,,,,,,,,,,,,,,
Q4,per_bin_breakdown_uncorrected,masked_gray_minus_base,,0.5360767238299392,0.35972997098447335,0.7080243281401498,BCa,933.0,,,,,,,,,,,,,,,,,0-20,0.5360767238299392,0.6347682207931404,0.4369510017303339,0.8267876347608857,BCa,,,,,,,,,,,,,
Q4,per_bin_breakdown_uncorrected,masked_gray_minus_base,,0.20764660493827164,-0.5996311595028218,1.0156684044053963,BCa,108.0,,,,,,,,,,,,,,,,,20-40,0.20764660493827164,0.46729166666666655,-0.7079458462565956,1.5947945472129428,BCa,,,,,,,,,,,,,
Q4,per_bin_breakdown_uncorrected,masked_gray_minus_base,,-0.4750905797101444,-1.7733700379360182,0.9083799415354923,BCa,46.0,,,,,,,,,,,,,,,,,40-60,-0.4750905797101444,4.464221014492754,2.23620989270288,6.786650714449966,BCa,,,,,,,,,,,,,
Q4,per_bin_breakdown_uncorrected,masked_gray_minus_base,,-3.3108552631578956,-5.788561577160729,-1.3281730643024507,BCa,38.0,,,,,,,,,,,,,,,,,60-80,-3.3108552631578956,2.2231359649122813,-0.4252131829890123,5.071401927392288,BCa,,,,,,,,,,,,,
Q4,per_bin_breakdown_uncorrected,masked_gray_minus_base,,-5.1708333333333325,-7.617141251461242,-2.9316537902671773,BCa,30.0,,,,,,,,,,,,,,,,,80-100,-5.1708333333333325,5.238888888888889,2.9425532728980084,7.773850059406934,BCa,,,,,,,,,,,,,
Q4,per_bin_breakdown_uncorrected,rectified_minus_base,,0.48552831368345833,0.3077073522261602,0.6631501818092067,BCa,933.0,,,,,,,,,,,,,,,,,0-20,0.48552831368345833,0.49959137191854236,0.29755313243839027,0.698713020718467,BCa,,,,,,,,,,,,,
Q4,per_bin_breakdown_uncorrected,rectified_minus_base,,0.5050038580246914,-0.25150725373720245,1.2632583773113115,BCa,108.0,,,,,,,,,,,,,,,,,20-40,0.5050038580246914,0.10646990740740739,-1.1452615642884383,1.2625649452792596,BCa,,,,,,,,,,,,,
Q4,per_bin_breakdown_uncorrected,rectified_minus_base,,-0.09744565217391296,-1.451970610925015,1.4728036345584556,BCa,46.0,,,,,,,,,,,,,,,,,40-60,-0.09744565217391296,3.914474637681159,1.5751258302429212,6.256829826084011,BCa,,,,,,,,,,,,,
Q4,per_bin_breakdown_uncorrected,rectified_minus_base,,-3.6104714912280707,-6.091250488610282,-1.659185030228108,BCa,38.0,,,,,,,,,,,,,,,,,60-80,-3.6104714912280707,3.4602521929824572,0.821764739726186,6.425803843272522,BCa,,,,,,,,,,,,,
Q4,per_bin_breakdown_uncorrected,rectified_minus_base,,-5.7138888888888895,-8.205254243431979,-3.6704035784449256,BCa,30.0,,,,,,,,,,,,,,,,,80-100,-5.7138888888888895,6.5069444444444455,4.329241292753484,9.20236520740249,BCa,,,,,,,,,,,,,
Q4,per_model_breakdown_uncorrected,masked_gray_minus_base,,-1.331705933714474,-2.639661102275519,-0.05210655721767881,BCa,1155.0,,,,,,,,,,,,,False,,,,,-1.331705933714474,,,,,Gemma-3-12B,-0.89991341991342,-1.2789420042235498,-0.5322278030336695,,,,,,,,,
Q4,per_model_breakdown_uncorrected,rectified_minus_base,,-1.350221740683784,-2.6594281582685664,-0.07493672798486631,BCa,1155.0,,,,,,,,,,,,,False,,,,,-1.350221740683784,,,,,Gemma-3-12B,-0.6174242424242424,-0.9986230033139456,-0.24100356283396843,,,,,,,,,
Q4,per_model_breakdown_uncorrected,masked_gray_minus_base,,-1.649774621207472,-2.9576314196548474,-0.4597331620767962,BCa,1155.0,,,,,,,,,,,,,False,,,,,-1.649774621207472,,,,,Gemma-3-27B,1.1481601731601732,0.7729716570285089,1.5085990378852738,,,,,,,,,
Q4,per_model_breakdown_uncorrected,rectified_minus_base,,-2.5564326572446436,-3.85815557486925,-1.3249820692879757,BCa,1155.0,,,,,,,,,,,,,False,,,,,-2.5564326572446436,,,,,Gemma-3-27B,1.0782467532467532,0.689118105620775,1.4543465229384671,,,,,,,,,
Q4,per_model_breakdown_uncorrected,masked_gray_minus_base,,-0.44387908541216703,-1.434283709414122,0.6904312898417363,BCa,1155.0,,,,,,,,,,,,,False,,,,,-0.44387908541216703,,,,,Llama-4-Maverick,0.2943073593073593,0.02391870360629216,0.5733268892251748,0.65,True,,,,,,,
Q4,per_model_breakdown_uncorrected,rectified_minus_base,,-1.4106094952866748,-2.362169850841822,-0.3922674132605164,BCa,1155.0,,,,,,,,,,,,,False,,,,,-1.4106094952866748,,,,,Llama-4-Maverick,0.08345238095238094,-0.19864334152271027,0.37317941900819124,0.65,True,,,,,,,
Q4,per_model_breakdown_uncorrected,masked_gray_minus_base,,-1.144443237191883,-2.3598301438169256,0.08281345705808366,BCa,1155.0,,,,,,,,,,,,,False,,,,,-1.144443237191883,,,,,Llama-4-Scout,-0.641547619047619,-0.9662140140187044,-0.33495233836541277,,,,,,,,,
Q4,per_model_breakdown_uncorrected,rectified_minus_base,,-1.313572665328877,-2.338521761159764,-0.3161506445150302,BCa,1155.0,,,,,,,,,,,,,False,,,,,-1.313572665328877,,,,,Llama-4-Scout,-0.7733896103896104,-1.076095072446181,-0.48531623933647045,,,,,,,,,
Q4,per_model_breakdown_uncorrected,masked_gray_minus_base,,-3.6651021770333703,-5.028754330017395,-2.3944264984321486,BCa,1155.0,,,,,,,,,,,,,False,,,,,-3.6651021770333703,,,,,Mistral-Small-3.2,0.6402164502164502,0.21980950427345913,1.0796496282043364,,,,,,,,,
