question_id,configuration,selection_metric,combination,repeat,is_ensemble,overall_mae,balanced_mae,overall_mae_rank,balanced_mae_rank,mae_bin_0-20,n_bin_0-20,mae_bin_20-40,n_bin_20-40,mae_bin_40-60,n_bin_40-60,mae_bin_60-80,n_bin_60-80,mae_bin_80-100,n_bin_80-100
Q2,Gemma-3-12B x Detailed,none,mean,0,False,9.65969696969697,20.36248762974899,60.0,62.0,7.539067524115735,933,9.925925925925926,108,19.391304347826086,46,26.289473684210527,38,38.666666666666664,30
Q2,Gemma-3-12B x Detailed,none,mean,1,False,9.65969696969697,20.36248762974899,60.0,62.0,7.539067524115735,933,9.925925925925926,108,19.391304347826086,46,26.289473684210527,38,38.666666666666664,30
Q2,Gemma-3-12B x Detailed,none,mean,2,False,9.65969696969697,20.36248762974899,60.0,62.0,7.539067524115735,933,9.925925925925926,108,19.391304347826086,46,26.289473684210527,38,38.666666666666664,30
Q2,Gemma-3-12B x Detailed,none,mean,3,False,9.65969696969697,20.36248762974899,60.0,62.0,7.539067524115735,933,9.925925925925926,108,19.391304347826086,46,26.289473684210527,38,38.666666666666664,30
Q2,Gemma-3-12B x Detailed,none,mean,4,False,9.65969696969697,20.36248762974899,60.0,62.0,7.539067524115735,933,9.925925925925926,108,19.391304347826086,46,26.289473684210527,38,38.666666666666664,30
Q2,Gemma-3-12B x Detailed,none,mean,5,False,9.65969696969697,20.36248762974899,60.0,62.0,7.539067524115735,933,9.925925925925926,108,19.391304347826086,46,26.289473684210527,38,38.666666666666664,30
Q2,Gemma-3-12B x Detailed,none,mean,6,False,9.65969696969697,20.36248762974899,60.0,62.0,7.539067524115735,933,9.925925925925926,108,19.391304347826086,46,26.289473684210527,38,38.666666666666664,30
Q2,Gemma-3-12B x Detailed,none,mean,7,False,9.65969696969697,20.36248762974899,60.0,62.0,7.539067524115735,933,9.925925925925926,108,19.391304347826086,46,26.289473684210527,38,38.666666666666664,30
Q2,Gemma-3-12B x Detailed,none,mean,8,False,9.65969696969697,20.36248762974899,60.0,62.0,7.539067524115735,933,9.925925925925926,108,19.391304347826086,46,26.289473684210527,38,38.666666666666664,30
Q2,Gemma-3-12B x Detailed,none,mean,9,False,9.65969696969697,20.36248762974899,60.0,62.0,7.539067524115735,933,9.925925925925926,108,19.391304347826086,46,26.289473684210527,38,38.666666666666664,30
Q2,Gemma-3-12B x Detailed,none,mean,10,False,9.65969696969697,20.36248762974899,60.0,62.0,7.539067524115735,933,9.925925925925926,108,19.391304347826086,46,26.289473684210527,38,38.666666666666664,30
Q2,Gemma-3-12B x Detailed,none,mean,11,False,9.65969696969697,20.36248762974899,60.0,62.0,7.539067524115735,933,9.925925925925926,108,19.391304347826086,46,26.289473684210527,38,38.666666666666664,30
Q2,Gemma-3-12B x Detailed,none,mean,12,False,9.65969696969697,20.36248762974899,60.0,62.0,7.539067524115735,933,9.925925925925926,108,19.391304347826086,46,26.289473684210527,38,38.666666666666664,30
Q2,Gemma-3-12B x Detailed,none,mean,13,False,9.65969696969697,20.36248762974899,60.0,62.0,7.539067524115735,933,9.925925925925926,108,19.391304347826086,46,26.289473684210527,38,38.666666666666664,30
Q2,Gemma-3-12B x Detailed,none,mean,14,False,9.65969696969697,20.36248762974899,60.0,62.0,7.539067524115735,933,9.925925925925926,108,19.391304347826086,46,26.289473684210527,38,38.666666666666664,30
